Month,Day_of_1st_session,Time,Population,Male,Female,Mating,Dispersal,Notes
June,8,2315,E,,64,1,,
June,8,,E,,87,,N,
June,8,103,E,,84,1,,
June,8,105,E,,82,,,
June,8,106,E,,64,,,
June,8,107,E,19,74,1,,
June,8,110,E,,85,,,
June,9,16,E,5,,,O,
June,9,18,E,,84,1,,
June,9,108,E,21,,,,
June,9,111,E,15,65,,,
June,9,112,E,1,85,,,
June,9,114,E,7,,,,
June,9,115,E,,71,1,,
June,9,119,E,4,77,,,
June,9,119,E,24,,,,
June,9,121,E,28,,,O,
June,10,2211,E,,87,,N,
June,10,2215,E,,72,,N,
June,10,2217,E,18,,,N,
June,10,2217,E,25,,,N,
June,10,2219,E,MRF,,,O,
June,10,2223,E,MRF,77,1,,
June,10,2225,E,MRF,?,1,,
June,10,2229,E,?,80,,,male without tape or ID removed prior to mating
June,10,31,E,1,?,1,,"spermatophore, female without tag and ID"
June,11,2130,E,,67,,O,
June,11,2130,E,30,,,O,
June,11,2231,E,?,89,1,,
June,11,2345,E,23,64,1,,spermatophore
June,11,2345,E,?,88,1,,
June,11,2345,E,2,82,1,,
June,11,2346,E,MRF,66,1,,
June,11,59,E,,87,1,,
June,11,100,E,29,,,,killed by parasite
June,11,100,E,24,,1,,"mating with unnumbered, tagged female"
June,12,2158,E,,FRF,,O,
June,12,2347,E,?,,,,"unmarked, removed"
June,12,2348,E,?,,,,"unmarked, removed"
June,12,2348,E,?,,,,"unmarked, removed"
June,12,47,E,MRF,,,O,
June,12,52,E,2,?,1,,female unmarked and removed
June,13,2145,E,,FRF,,N,
June,13,2148,E,,74,,N,
June,13,2344,E,,66,,N,
June,13,2345,E,MRF,,,N,
June,13,29,E,MRF,,,N,
June,14,2142,E,?,,,,"unmarked, removed"
June,14,2153,E,24,,,,No leg tag
June,14,2154,E,27,,,,No leg tag
June,14,2237,E,?,87,1,,
June,14,2247,E,19,80,1,,
June,15,2212,E,?,89,1,,"mating with unnumbered, untagged male"
June,15,2325,E,,74,,O,
June,15,19,E,,87,,O,
June,15,100,E,,?,,,removed
June,15,100,E,?,,,,removed
June,15,100,E,?,,,,removed
June,16,2211,E,MRF,FRF,1,,
June,16,2244,E,18,FRF,1,,
June,16,2356,E,21,77,1,,presumably male 21
June,16,45,E,,FRF,1,,
June,8,114,F,37,,,N,
June,8,117,F,,,,N,
June,8,1129,F,1,,,N,
June,9,2214,F,37,,,N,
June,9,2312,F,42,78,1,,
June,10,2154,F,24,,,N,
June,10,2311,F,,FRF,,O,
June,10,2313,F,17,?,,N,mating with unmarked female
June,10,1226,F,42,,,N,
June,10,1227,F,23,,,N,
June,10,1229,F,24,,,N,
June,10,110,F,24,,,O,
June,11,2150,F,7,,,O,
June,11,2150,F,42,,,O,
June,11,2303,F,,?,,,removed
June,11,112,F,24,,,O,
June,11,421,F,24,,,N,ID gone after replacement
June,12,2202,F,47,,,O,
June,12,29,F,?,,,,removed
June,13,2206,F,MRF,,,N,
June,13,2207,F,7,,,N,
June,13,2355,F,MRF,,,N,
June,13,102,F,MRF,,,N,
June,15,2201,F,1,,,N,
June,15,2201,F,MRF,,,N,
June,16,2158,F,?,,,,removed
June,16,105,F,43,?,1,,female with spermatophore without ID and tape
June,9,23,G,,?,,,female with spermatophore without ID and tape
June,10,2210,G,,78,,O,
June,11,2212,G,22,,,O,
June,11,2215,G,,83,,O,
June,11,2316,G,MRF,86,1,,
June,11,2331,G,32,,,N,
June,11,2333,G,20,,,N,
June,11,2334,G,23,,,N,
June,11,2335,G,MRF,,,N,
June,11,2337,G,?,86,1,,"spermatophore, unmarked male nearby"
June,11,2338,G,,77,,N,
June,11,2338,G,,65,,N,
June,11,2337,G,MRF,,,O,
June,11,2348,G,22,,,O,
June,11,104,G,,62,1,,"spermatophore, no male nearby"
June,11,111,G,,?,1,,immigrant female
June,13,2151,G,22,,,O,
June,14,2216,G,29,,,N,
June,14,2237,G,7,?,1,,female may not be from population
June,14,2310,G,MRF,80,1,,
June,14,2322,G,MRF,75,1,,
June,14,119,G,22,,,O,
June,15,,G,,?,,,removed
June,16,2207,G,MRF,,,O,
June,16,2213,G,,87,,,"dead, eaten by wolf spider"
June,16,2233,G,MRF,65,,,
